num,img,title,field,organizer,start_day,finish_day,homepage
80,https://www.wevity.com/upload/contest/20240601190253_d913895f.jpg,월간 밀리로드 6월 창작 지원 프로젝트,"문학, 글, 시나리오",밀리의서재,2024-06-01,2024-06-30,https://www.millie.co.kr/v3/post/939266?nav_hidden=y?referrer=wevity
81,https://www.wevity.com/upload/contest/20240601185519_ec388a96.jpg,2024 MYME GAME JAM 온라인 서포터즈 모집,"대외활동, 서포터즈",(주)공감오래콘텐츠,2024-05-31,2024-06-10,https://gonggamore.co.kr/
82,https://www.wevity.com/upload/contest/20240601181306_9af1a519.jpg,사랑의열매 열매톡톡 서포터즈 9기 나눔메이트 모집,"대외활동, 서포터즈",사랑의열매,2024-05-27,2024-07-10,https://blog.naver.com/nanum_in/223457096559
83,https://www.wevity.com/upload/contest/20240601170232_c9f105e3.jpg,2024 계룡시 UCC 공모전,"영상, UCC, 사진",계룡시,2024-05-30,2024-09-22,https://gyeryong.go.kr/kr/html/sub03/030101.html?mode=V&code=kr_030101&no=8159568b69b5b4bee5f4f544ecb9a21b&group_at=kr_030101
84,https://www.wevity.com/upload/contest/20240601165854_ee498359.jpg,2024 소상공인시장진흥공단 국민 혁신아이디어 공모전,"기획, 아이디어",소상공인시장진흥공단,2024-05-31,2024-06-24,https://www.semas.or.kr/web/board/webBoardView.kmdc?bCd=1&b_idx=41136&pNm=BOA0101
85,https://www.wevity.com/upload/contest/20240601164115_384a851c.jpg,"제 3회 금연 공감 문화제 청소년, 대학생 흡연예방 및 금연조성을 위한 공모전","영상, UCC, 사진",경기도,2024-05-31,2024-06-30,https://blog.naver.com/ggnosmk/223462040826
86,https://www.wevity.com/upload/contest/20240603150504_8ae43d91.jpg,2024 전기사랑 미디어콘텐츠대전,"예체능, 미술, 음악",한국전기신문사,2024-03-11,2024-10-04,https://pt.electimes.com
87,https://www.wevity.com/upload/contest/20240601153608_29e61176.jpg,강남청소년수련관 애칭 아이디어 공모전,"네이밍, 슬로건",강남청소년수련관,2024-06-04,2024-06-30,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87783
88,https://www.wevity.com/upload/contest/20240601152300_bfafd6d2.jpg,[제주지역] 제11회 제주삼다수 마스터스 대학생 서포터즈 모집,"대외활동, 서포터즈",제주특별자치도개발공사,2024-05-20,2024-06-10,https://www.jpdc.co.kr/index.htm
89,https://www.wevity.com/upload/contest/20240601145405_0ef342b2.jpg,부천문화재단 도시다감 감정사전과 함께할 시민작가 모집,"문학, 글, 시나리오",부천문화재단,2024-06-01,2024-09-30,https://culturebc.bcf.or.kr/user/dagam/list.do?mu=main
90,https://www.wevity.com/upload/contest/20240601144908_47307d9f.jpg,제11회 광융합 기술사업화 아이디어 및 제품디자인 공모전,"건축, 건설, 인테리어",한국광기술원,2024-04-01,2024-06-28,http://58.184.184.101/Event_Main.do
91,https://www.wevity.com/upload/contest/20240601143610_73bb3532.jpg,2024년 올바른 법정계량 홍보 대학생 서포터즈 모집,"대외활동, 서포터즈",국가기술표준원,2024-06-03,2024-07-15,https://www.metrology.kr/html/index_portal.html#contest/bubjung
92,https://www.wevity.com/upload/contest/20240601142134_7bbdc48d.jpg,2024 쥬얼리공방 팝업스토어 카피라이팅 공모전,"네이밍, 슬로건",프리즘,2024-05-28,2024-06-18,https://branii.webflow.io/
93,https://www.wevity.com/upload/contest/20240601133221_bd5c8385.jpg,부산MBC 뉴미디어 캐릭터 공모전,"디자인, 캐릭터, 웹툰",부산문화방송,2024-05-30,2024-06-23,https://busanmbc.co.kr/05_nmd/nmd02_view.asp?idx=177567
94,https://www.wevity.com/upload/contest/20240601055019_822296ad.jpg,2024 KEIT 글로벌 홍보단 G-서포터즈 모집,"대외활동, 서포터즈",한국산업기술기획평가원,2024-05-20,2024-06-09,https://keit.re.kr/board.es?mid=a10301010000&bid=0009&act=view&list_no=125343&act=view&list_no=125343
95,https://www.wevity.com/upload/contest/20240601054439_713f0379.jpg,2024 청년귀환 채널 구축 사업 스타트업캠프 홈커밍대구 참가자 2차 모집,"취업, 창업",대구창조경제혁신센터,2024-05-22,2024-06-06,https://startup.daegu.go.kr/index.do?menu_id=00002731&menu_link=/front/project/projectFrontMypageDetail.do?project_id=PROJECT_00003836
